resource_uri,key,scope,ordinal,title,expire_interval_days,expire_notifiy_days
/reports/api/v1/vocabulary/checklistitem.imaging.name/image_analysis_training/,image_analysis_training,checklistitem.imaging.name,5,"Image Analysis training",,
/reports/api/v1/vocabulary/checklistitem.imaging.name/image_xpress_micro_training/,image_xpress_micro_training,checklistitem.imaging.name,2,"Image Xpress Micro Training",,
/reports/api/v1/vocabulary/checklistitem.non_harvard_screeners.name/invited_user_ecommons_account_requested/,invited_user_ecommons_account_requested,checklistitem.non_harvard_screeners.name,1,"Invited user eCommons account requested",,
/reports/api/v1/vocabulary/checklistitem.mailing_lists_wikis.name/ivis_wiki_access/,ivis_wiki_access,checklistitem.mailing_lists_wikis.name,9,"IVIS wiki access",,
/reports/api/v1/vocabulary/checklistitem.forms.name/lab_specific_safety_training_completed/,lab_specific_safety_training_completed,checklistitem.forms.name,1,"Lab Specific Safety Training Completed",,
/reports/api/v1/vocabulary/checklistitem.forms.name/marcus_iccbl_user_agreement_signed/,marcus_iccbl_user_agreement_signed,checklistitem.forms.name,10,"Marcus - ICCBL user agreement signed",,
/reports/api/v1/vocabulary/checklistitem.forms.name/marcus_library_mta_signed/,marcus_library_mta_signed,checklistitem.forms.name,9,"Marcus Library MTA Signed",,
/reports/api/v1/vocabulary/checklistitem.forms.name/mlp_molecular_libraries_program_library_user_agreement_signed/,mlp_molecular_libraries_program_library_user_agreement_signed,checklistitem.forms.name,11,"MLP (Molecular Libraries Program) library user agreement signed",,
/reports/api/v1/vocabulary/checklistitem.forms.name/non_hms_biosafety_training_form_on_file/,non_hms_biosafety_training_form_on_file,checklistitem.forms.name,7,"Non-HMS Biosafety Training Form on File",,
/reports/api/v1/vocabulary/checklistitem.forms.name/old_data_sharing_agreement_signed/,old_data_sharing_agreement_signed,checklistitem.forms.name,6,"Old data sharing agreement signed",,
/reports/api/v1/vocabulary/checklistitem.imaging.name/opera_training/,opera_training,checklistitem.imaging.name,4,"Opera Training",,
/reports/api/v1/vocabulary/checklistitem.mailing_lists_wikis.name/qpcr_wiki_access_set_up/,qpcr_wiki_access_set_up,checklistitem.mailing_lists_wikis.name,6,"QPCR wiki access set up",,
/reports/api/v1/vocabulary/checklistitem.mailing_lists_wikis.name/rnai_wiki_access_set_up/,rnai_wiki_access_set_up,checklistitem.mailing_lists_wikis.name,5,"RNAi wiki access set up",,
/reports/api/v1/vocabulary/checklistitem.forms.name/roche_kinase_inhibitors_library_user_agreement_signed/,roche_kinase_inhibitors_library_user_agreement_signed,checklistitem.forms.name,13,"Roche kinase inhibitors library user agreement signed",,
/reports/api/v1/vocabulary/checklistitem.forms.name/screener_given_a_copy_of_what_every_new_screener_needs_to_know/,screener_given_a_copy_of_what_every_new_screener_needs_to_know,checklistitem.forms.name,8,"Screener given a copy of 'What Every New Screener Needs to Know'",,
/reports/api/v1/vocabulary/checklistitem.non_harvard_screeners.name/temporary_id_requested/,temporary_id_requested,checklistitem.non_harvard_screeners.name,2,"Temporary ID requested",,
/reports/api/v1/vocabulary/checklistitem.status/not_completed/,not_completed,checklistitem.status,0,"Not Completed",,
/reports/api/v1/vocabulary/checklistitem.status/activated/,activated,checklistitem.status,1,Activated,,
/reports/api/v1/vocabulary/checklistitem.status/deactivated/,deactivated,checklistitem.status,2,Deactivated,,
/reports/api/v1/vocabulary/checklistitem.status/na/,na,checklistitem.status,3,N/A,,
/reports/api/v1/vocabulary/checklistitem.status/completed/,completed,checklistitem.status,4,Completed,,
