key,scope,ordinal,comment,description,title,is_retired
integer,datacolumn.data_type,6,,"Integer numeric value",Integer,
decimal,datacolumn.data_type,7,,"Decimal numeric value",Decimal,
0,resultvalue.partitioned_positive,0,,"Not Positve",NP,
1,resultvalue.partitioned_positive,1,,Weak,W,
2,resultvalue.partitioned_positive,2,,Medium,M,
3,resultvalue.partitioned_positive,3,,Strong,S,
small_molecule_screener,user.facilityusagerole,1,,"Users that are conducting small molecule screens at the facility","Small Molecule Screener",TRUE
rnai_screener,user.facilityusagerole,2,,"Users that are conducting RNAi screens at the facility","RNAi Screener",TRUE
non_screening_user,user.facilityusagerole,3,"nonScreeningUser is *not* mutually exclusive with screener roles; user may have been a nonScreeningUser initially, then became screener later on","Users that are using the facility for purposes other than conducting a screen","Non-screening User",
medicinal_chemist_user,user.facilityusagerole,4,,"Users that are medicinal chemists","Medicinal Chemistry User",
qpcr_user,user.facilityusagerole,5,,"Users that are performing Quantitative PCR analyses at the facility","QPCR User",
iccbl_project_user,user.facilityusagerole,6,,"Users working on ICCB-L projects","ICCBL Project User",
mouse_image_user,user.facilityusagerole,7,,"Users permitted to use the mouse imager","Mouse Imager User",
analytical_chemistry_user,user.facilityusagerole,8,,"Analytical Chemistry - SGM 624","Analytical Chemistry - SGM 624",
principal_investigator,user.classification,1,"only Principal Investigators can be lab heads","Principal Investigator","Principal Investigator",
graduate_student,user.classification,2,,"Graduate Student","Graduate Student",
iccb_fellow,user.classification,3,,"ICCB Fellow","ICCB Fellow",TRUE
research_assistant,user.classification,4,,"Research Assistant","Research Assistant",
postdoc,user.classification,5,,Postdoc,Postdoc,
staff,user.classification,6,,Staff,Staff,
other,user.classification,7,,Other,Other,
unassigned,user.classification,8,,Unassigned,Unassigned,
training,activity.class,1,,"A Training Service Activity",Training,
automation,activity.class,2,,"An Automation Service Activity",Automation,
other,activity.class,3,,"Other Service Activity",Other,
screening,activity.class,4,,"Screening Activity","Screening Activity",
library_screening,activity.type.screening,1,,"Library Screening","Library Screening",
ext_library_screening,activity.type.screening,2,,"External Library Screening","External Library Screening",
cp_transfer,activity.type.screening,3,,"Cherry Pick Liquid Transfer","Cherry Pick Liquid Transfer",
cp_screening,activity.type.screening,4,,"Cherry Pick Screening","Cherry Pick Screening",
unfulfilled,labcherrypick.status,1,,"An ""available"" copy of the ""Cherry Pick Source Plate"" with sufficient volume could not be found",Unfulfilled,
selected,labcherrypick.status,2,,"This Copy has been selected and has sufficient volume",Selected,
plated,labcherrypick.status,3,,"This well has been plated",Plated,
not_selected,labcherrypick.status,4,,"The source copy has not been selected for this source well","Not Selected",
1,screenresult.availability,1,,Available,Available,
2,screenresult.availability,2,,"Not Shared","Not Shared",
3,screenresult.availability,3,,None,None,
principal_investigator,screen.user_role,1,,"Principal Investigator","Principal Investigator",
lead_screener,screen.user_role,2,,"Lead Screener","Lead Screener",
collaborator,screen.user_role,3,,Collaborator,Collaborator,
e,rawdataoutput.well_type,1,,Experimental,Experimental,
c,rawdataoutput.well_type,2,,"Library Control","Library Control",
n,rawdataoutput.well_type,3,,"Assay Negative Control","Assay Control",
p,rawdataoutput.well_type,4,,"Assay Positive Control","Assay Positive Control",
o,rawdataoutput.well_type,5,,"Other Assay Control","Other Assay Control",
plate_per_worksheet,rawdatainput.outputsheetoption,1,,"Plate per worksheet","Plate per worksheet",
all_plates_in_single_worksheet,rawdatainput.outputsheetoption,2,,"All plates in single worksheet","All plates in single worksheet",
PQ_C_REP_READ,rawdatainput.collation_order,0,,"Plates-(Quadrants)-Conditions-Replicates-Readouts (note, Quadrants are counted if 96 well assay plates are used)",Plates-(Quadrants)-Conditions-Replicates-Readouts,
PQ_REP_C_READ,rawdatainput.collation_order,1,,Plates-(Quadrants)-Replicates-Conditions-Readouts,Plates-(Quadrants)-Replicates-Conditions-Readouts,
C_PQ_REP_READ,rawdatainput.collation_order,2,,Conditions-Plates-(Quadrants)-Replicates-Readouts,Conditions-Plates-(Quadrants)-Replicates-Readouts,
C_REP_PQ_READ,rawdatainput.collation_order,3,,Conditions-Replicates-Plates-(Quadrants)-Readouts,Conditions-Replicates-Plates-(Quadrants)-Readouts,
REP_PQ_C_READ,rawdatainput.collation_order,4,,Replicates-Plates-(Quadrants)-Conditions-Readouts,Replicates-Plates-(Quadrants)-Conditions-Readouts,
REP_C_PQ_READ,rawdatainput.collation_order,5,,Replicates-Conditions-Plates-(Quadrants)-Readouts,Replicates-Conditions-Plates-(Quadrants)-Readouts,
sm,useragreement.type,1,,"Small Molecule","Small Molecule",
rnai,useragreement.type,2,,RNAi,RNAi,
active,useragreement.status,1,,Active,Active,
inactive,useragreement.status,2,,Inactive,Inactive,
expired,useragreement.status,3,,Expired,Expired,
